Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,
2.05E-06,0.4,2.05E-06,-4.8,,,
2.06E-06,0.4,2.06E-06,-4.8,,,
2.07E-06,0.2,2.07E-06,-4.8,,,
2.08E-06,0,2.08E-06,-4.6,,,
2.09E-06,0.4,2.09E-06,-5.2,,,
2.10E-06,0.2,2.10E-06,-5,,,
2.11E-06,0,2.11E-06,-4.8,,,
2.12E-06,0.2,2.12E-06,-4.8,,,
2.13E-06,0.2,2.13E-06,-4.8,,,
2.14E-06,0.2,2.14E-06,-5.2,,,
2.15E-06,0.4,2.15E-06,-5,,,
2.16E-06,0,2.16E-06,-4.8,,,
2.17E-06,0,2.17E-06,-5,,,
2.18E-06,0.6,2.18E-06,-4.8,,,
2.19E-06,0.2,2.19E-06,-4.8,,,
2.20E-06,0.2,2.20E-06,-4.8,,,
2.21E-06,0.2,2.21E-06,-4.6,,,
2.22E-06,0.4,2.22E-06,-4.8,,,
2.23E-06,0.4,2.23E-06,-4.8,,,
2.24E-06,0,2.24E-06,-5.2,,,
2.25E-06,0.2,2.25E-06,-4.6,,,
2.26E-06,0.4,2.26E-06,-4.8,,,
2.27E-06,0.4,2.27E-06,-4.8,,,
2.28E-06,0,2.28E-06,-4.8,,,
2.29E-06,0.6,2.29E-06,-5,,,
2.30E-06,0.4,2.30E-06,-4.8,,,
2.31E-06,0.6,2.31E-06,-4.6,,,
2.32E-06,0.2,2.32E-06,-4.8,,,
2.33E-06,0,2.33E-06,-5,,,
2.34E-06,0.2,2.34E-06,-5.2,,,
2.35E-06,0.4,2.35E-06,-4.8,,,
2.36E-06,0.4,2.36E-06,-4.6,,,
2.37E-06,0.4,2.37E-06,-4.8,,,
2.38E-06,0.4,2.38E-06,-5,,,
2.39E-06,0.4,2.39E-06,-4.6,,,
2.40E-06,0.4,2.40E-06,-4.8,,,
2.41E-06,0.4,2.41E-06,-4.4,,,
2.42E-06,0.2,2.42E-06,-5,,,
2.43E-06,0.4,2.43E-06,-4.8,,,
2.44E-06,0.6,2.44E-06,-4.6,,,
2.45E-06,0.2,2.45E-06,-4.6,,,
2.46E-06,0.4,2.46E-06,-4.6,,,
2.47E-06,0,2.47E-06,-5.2,,,
2.48E-06,0.6,2.48E-06,-4.6,,,
2.49E-06,0.4,2.49E-06,-4.6,,,
2.50E-06,0.2,2.50E-06,-4.8,,,
2.51E-06,0.2,2.51E-06,-4.8,,,
2.52E-06,0.4,2.52E-06,-4.8,,,
2.53E-06,0.4,2.53E-06,-4.8,,,
2.54E-06,0.2,2.54E-06,-4.6,,,
2.55E-06,0.2,2.55E-06,-4.6,,,
