Time (s),Vout (V)
4.85E-05,1.52
4.85E-05,1.52
4.86E-05,1.6
4.86E-05,1.52
4.86E-05,1.6
4.87E-05,1.52
4.87E-05,1.52
4.88E-05,1.52
4.88E-05,1.52
4.88E-05,1.52
4.89E-05,1.76
4.89E-05,1.44
4.90E-05,1.44
4.90E-05,1.44
4.90E-05,1.52
4.91E-05,1.44
4.91E-05,1.36
4.92E-05,1.44
4.92E-05,1.52
4.92E-05,1.44
4.93E-05,1.44
4.93E-05,1.44
4.94E-05,1.44
4.94E-05,1.36
4.94E-05,1.36
4.95E-05,1.36
4.95E-05,1.52
4.96E-05,1.44
4.96E-05,1.44
4.96E-05,1.44
4.97E-05,1.44
4.97E-05,1.2
4.98E-05,1.36
4.98E-05,1.44
4.98E-05,1.36
4.99E-05,1.28
4.99E-05,1.36
5.00E-05,1.28
5.00E-05,1.28
5.00E-05,1.36
5.01E-05,1.36
5.01E-05,1.36
5.02E-05,1.36
5.02E-05,1.36
5.02E-05,1.28
5.03E-05,1.2
5.03E-05,1.36
5.04E-05,1.2
5.04E-05,1.28
5.04E-05,1.28
5.05E-05,1.28
5.05E-05,1.28
5.06E-05,1.36
5.06E-05,1.28
5.06E-05,1.28
5.07E-05,1.2
5.07E-05,1.12
5.08E-05,1.2
5.08E-05,1.28
5.08E-05,1.12
5.09E-05,1.28
5.09E-05,1.2
5.10E-05,1.2
5.10E-05,1.12
5.10E-05,1.28
5.11E-05,1.12
5.11E-05,1.12
5.12E-05,1.12
5.12E-05,1.12
5.12E-05,1.12
5.13E-05,1.28
5.13E-05,1.2
5.14E-05,1.12
5.14E-05,1.28
5.14E-05,1.2
5.15E-05,0.96
5.15E-05,1.2
5.16E-05,1.12
5.16E-05,1.12
5.16E-05,1.04
5.17E-05,1.2
5.17E-05,1.12
5.18E-05,1.12
5.18E-05,0.96
5.18E-05,0.96
5.19E-05,1.12
5.19E-05,1.04
5.20E-05,1.04
5.20E-05,1.12
5.20E-05,0.96
5.21E-05,0.96
5.21E-05,1.04
5.22E-05,1.04
5.22E-05,1.04
5.22E-05,1.04
5.23E-05,1.04
5.23E-05,1.04
5.24E-05,0.88
5.24E-05,1.04
5.24E-05,1.04
5.25E-05,1.04
5.25E-05,0.96
5.26E-05,0.96
5.26E-05,0.96
5.26E-05,0.88
5.27E-05,1.04
5.27E-05,1.04
5.28E-05,0.96
5.28E-05,0.8
5.28E-05,1.04
5.29E-05,0.96
5.29E-05,0.88
5.30E-05,0.96
5.30E-05,1.04
5.30E-05,0.96
5.31E-05,0.8
5.31E-05,0.8
5.32E-05,0.96
5.32E-05,0.96
5.32E-05,0.96
5.33E-05,0.88
5.33E-05,0.88
5.34E-05,0.88
5.34E-05,0.88
5.34E-05,0.96
5.35E-05,1.12
5.35E-05,0.88
5.36E-05,0.96
5.36E-05,0.88
5.36E-05,0.96
5.37E-05,0.96
5.37E-05,0.88
5.38E-05,0.96
5.38E-05,0.88
5.38E-05,0.8
5.39E-05,0.88
5.39E-05,0.88
5.40E-05,0.88
5.40E-05,0.88
5.40E-05,0.72
5.41E-05,0.8
5.41E-05,0.88
5.42E-05,0.96
5.42E-05,0.72
5.42E-05,0.8
5.43E-05,0.8
5.43E-05,0.8
5.44E-05,0.72
5.44E-05,0.88
5.44E-05,0.8
5.45E-05,0.72
5.45E-05,0.88
5.46E-05,0.8
5.46E-05,0.8
5.46E-05,0.8
5.47E-05,0.72
5.47E-05,0.72
5.48E-05,0.8
5.48E-05,0.72
5.48E-05,0.72
5.49E-05,0.88
5.49E-05,0.72
5.50E-05,0.8
5.50E-05,0.8
5.50E-05,0.64
5.51E-05,0.72
5.51E-05,0.8
5.52E-05,0.72
5.52E-05,0.8
5.52E-05,0.8
5.53E-05,0.8
5.53E-05,0.72
5.54E-05,0.8
5.54E-05,0.64
5.54E-05,0.64
5.55E-05,0.72
5.55E-05,0.64
5.56E-05,0.72
5.56E-05,0.64
5.56E-05,0.72
5.57E-05,0.64
5.57E-05,0.64
5.58E-05,0.56
5.58E-05,0.64
5.58E-05,0.88
5.59E-05,0.64
5.59E-05,0.64
5.60E-05,0.56
5.60E-05,0.64
5.60E-05,0.64
5.61E-05,0.64
5.61E-05,0.72
5.62E-05,0.64
5.62E-05,0.56
5.62E-05,0.64
5.63E-05,0.72
5.63E-05,0.72
5.64E-05,0.64
5.64E-05,0.56
5.64E-05,0.56
5.65E-05,0.48
5.65E-05,0.72
5.66E-05,0.64
5.66E-05,0.56
5.66E-05,0.64
5.67E-05,0.72
5.67E-05,0.64
5.68E-05,0.56
5.68E-05,0.8
5.68E-05,0.56
5.69E-05,0.48
5.69E-05,0.56
5.70E-05,0.56
5.70E-05,0.64
5.70E-05,0.48
5.71E-05,0.56
5.71E-05,0.72
5.72E-05,0.48
5.72E-05,0.56
5.72E-05,0.64
5.73E-05,0.56
5.73E-05,0.48
5.74E-05,0.56
5.74E-05,0.64
5.74E-05,0.64
5.75E-05,0.56
5.75E-05,0.48
5.76E-05,0.48
5.76E-05,0.64
5.76E-05,0.48
5.77E-05,0.48
5.77E-05,0.72
5.78E-05,0.48
5.78E-05,0.48
5.78E-05,0.56
5.79E-05,0.48
5.79E-05,0.56
5.80E-05,0.64
5.80E-05,0.56
5.80E-05,0.48
5.81E-05,0.56
5.81E-05,0.48
5.82E-05,0.56
5.82E-05,0.48
5.82E-05,0.64
5.83E-05,0.48
5.83E-05,0.48
5.84E-05,0.48
5.84E-05,0.4
5.84E-05,0.56
5.85E-05,0.48
5.85E-05,0.48
5.86E-05,0.48
5.86E-05,0.56
5.86E-05,0.4
5.87E-05,0.48
5.87E-05,0.56
5.88E-05,0.48
5.88E-05,0.48
5.88E-05,0.48
5.89E-05,0.48
5.89E-05,0.56
5.90E-05,0.56
5.90E-05,0.4
5.90E-05,0.4
5.91E-05,0.4
5.91E-05,0.32
5.92E-05,0.48
5.92E-05,0.56
5.92E-05,0.48
5.93E-05,0.48
5.93E-05,0.56
5.94E-05,0.48
5.94E-05,0.4
5.94E-05,0.48
5.95E-05,0.32
5.95E-05,0.4
5.96E-05,0.32
5.96E-05,0.48
5.96E-05,0.48
5.97E-05,0.48
5.97E-05,0.32
5.98E-05,0.32
5.98E-05,0.48
5.98E-05,0.4
5.99E-05,0.48
5.99E-05,0.48
6.00E-05,0.4
6.00E-05,0.24
6.00E-05,0.48
6.01E-05,0.32
6.01E-05,0.48
6.02E-05,0.4
6.02E-05,0.32
6.02E-05,0.4
6.03E-05,0.32
6.03E-05,0.32
6.04E-05,0.48
6.04E-05,0.48
6.04E-05,0.24
6.05E-05,0.32
6.05E-05,0.32
6.06E-05,0.32
6.06E-05,0.48
6.06E-05,0.48
