Time - Plot 0,Amplitude - Plot 0
0.01632,0.64
0.01634,0.72
0.01636,0.64
0.01638,0.72
0.0164,0.64
0.01642,0.8
0.01644,0.64
0.01646,0.72
0.01648,0.72
0.0165,0.8
0.01652,0.72
0.01654,0.8
0.01656,0.64
0.01658,0.72
0.0166,0.72
0.01662,0.72
0.01664,0.64
0.01666,0.8
0.01668,0.64
0.0167,0.72
0.01672,0.56
0.01674,0.8
0.01676,0.56
0.01678,0.8
0.0168,0.64
0.01682,0.8
0.01684,0.72
0.01686,0.8
0.01688,0.64
0.0169,0.72
0.01692,0.64
0.01694,0.8
0.01696,0.64
0.01698,0.72
0.017,0.64
0.01702,0.8
0.01704,0.64
0.01706,0.8
0.01708,0.72
0.0171,0.72
0.01712,0.72
0.01714,0.72
0.01716,0.72
0.01718,0.72
0.0172,0.72
0.01722,0.72
0.01724,0.64
0.01726,0.8
0.01728,0.64
0.0173,0.72
0.01732,0.64
0.01734,0.8
0.01736,0.72
0.01738,0.8
0.0174,0.64
0.01742,0.8
0.01744,0.8
0.01746,0.8
0.01748,0.64
0.0175,0.8
0.01752,0.64
0.01754,0.8
0.01756,0.72
0.01758,0.8
0.0176,0.64
0.01762,0.8
0.01764,0.64
0.01766,0.8
0.01768,0.64
0.0177,0.8
0.01772,0.64
0.01774,0.8
0.01776,0.64
0.01778,0.8
0.0178,0.72
0.01782,0.8
0.01784,0.64
0.01786,0.72
0.01788,0.72
0.0179,0.8
0.01792,0.72
0.01794,0.72
0.01796,0.64
0.01798,0.8
0.018,0.64
0.01802,0.8
0.01804,0.64
0.01806,0.72
0.01808,0.64
0.0181,0.8
0.01812,0.64
0.01814,0.8
0.01816,0.64
0.01818,0.8
0.0182,0.64
0.01822,0.72
0.01824,0.64
0.01826,0.72
0.01828,0.64
0.0183,0.8
0.01832,0.56
0.01834,0.72
0.01836,0.64
0.01838,0.72
0.0184,0.72
0.01842,0.72
0.01844,0.64
0.01846,0.8
0.01848,0.64
0.0185,0.8
0.01852,0.64
0.01854,0.8
0.01856,0.64
0.01858,0.72
0.0186,0.64
0.01862,0.8
0.01864,0.64
0.01866,0.8
0.01868,0.64
0.0187,0.8
0.01872,0.72
0.01874,0.8
0.01876,0.64
0.01878,0.72
0.0188,0.72
0.01882,0.8
0.01884,0.64
0.01886,0.72
0.01888,0.72
0.0189,0.72
0.01892,0.64
0.01894,0.72
0.01896,0.72
0.01898,0.8
0.019,0.64
0.01902,0.8
0.01904,0.64
0.01906,0.72
0.01908,0.64
0.0191,0.72
0.01912,0.64
0.01914,0.8
0.01916,0.64
0.01918,0.72
0.0192,0.64
0.01922,0.8
0.01924,0.56
0.01926,0.72
0.01928,0.56
0.0193,0.72
0.01932,0.56
0.01934,0.72
0.01936,0.56
0.01938,0.64
0.0194,0.64
0.01942,0.64
0.01944,0.64
0.01946,0.64
0.01948,0.56
0.0195,0.72
0.01952,0.56
0.01954,0.64
0.01956,0.56
0.01958,0.72
0.0196,0.56
0.01962,0.64
0.01964,0.48
0.01966,0.64
0.01968,0.4
0.0197,0.56
0.01972,0.4
0.01974,0.48
0.01976,0.32
0.01978,0.48
0.0198,0.32
0.01982,0.4
0.01984,0.24
0.01986,0.4
0.01988,0.16
0.0199,0.32
0.01992,0.16
0.01994,0.24
0.01996,0.08
0.01998,0.24
0.02,-0.08
0.02002,0.24
0.02004,0
0.02006,0.16
0.02008,-0.16
0.0201,0.08
0.02012,-0.16
0.02014,0
0.02016,-0.16
0.02018,0
0.0202,-0.24
0.02022,-0.16
0.02024,-0.24
0.02026,-0.16
0.02028,-0.4
0.0203,-0.08
0.02032,-0.4
0.02034,-0.24
0.02036,-0.4
0.02038,-0.24
0.0204,-0.56
0.02042,-0.4
0.02044,-0.64
0.02046,-0.48
0.02048,-0.56
0.0205,-0.48
0.02052,-0.64
0.02054,-0.56
0.02056,-0.72
0.02058,-0.56
0.0206,-0.72
0.02062,-0.64
0.02064,-0.8
0.02066,-0.64
0.02068,-0.8
0.0207,-0.72
0.02072,-0.88
0.02074,-0.72
0.02076,-0.88
0.02078,-0.72
0.0208,-0.96
0.02082,-0.88
0.02084,-1.04
0.02086,-0.88
0.02088,-1.12
0.0209,-0.96
0.02092,-1.2
0.02094,-0.96
0.02096,-1.12
0.02098,-1.04
0.021,-1.2
0.02102,-1.12
0.02104,-1.2
0.02106,-1.04
0.02108,-1.28
0.0211,-1.2
0.02112,-1.28
0.02114,-1.12
0.02116,-1.44
0.02118,-1.2
0.0212,-1.36
0.02122,-1.28
0.02124,-1.36
0.02126,-1.28
0.02128,-1.44
0.0213,-1.36
0.02132,-1.6
0.02134,-1.36
0.02136,-1.6
0.02138,-1.36
0.0214,-1.52
0.02142,-1.44
0.02144,-1.68
0.02146,-1.44
0.02148,-1.6
0.0215,-1.44
0.02152,-1.68
0.02154,-1.44
0.02156,-1.68
0.02158,-1.52
0.0216,-1.68
0.02162,-1.6
0.02164,-1.84
0.02166,-1.6
0.02168,-1.84
0.0217,-1.68
0.02172,-1.84
0.02174,-1.68
0.02176,-1.84
0.02178,-1.6
0.0218,-1.92
0.02182,-1.68
0.02184,-1.92
0.02186,-1.76
0.02188,-1.84
0.0219,-1.68
0.02192,-1.84
0.02194,-1.68
0.02196,-2
0.02198,-1.76
0.022,-2
0.02202,-1.76
0.02204,-2
0.02206,-1.76
0.02208,-2.08
0.0221,-1.76
0.02212,-2
0.02214,-1.84
0.02216,-2.08
0.02218,-1.84
0.0222,-2.08
0.02222,-1.84
0.02224,-2.08
0.02226,-1.92
0.02228,-2.08
0.0223,-1.92
0.02232,-2.08
0.02234,-1.84
0.02236,-2
0.02238,-1.84
0.0224,-2.08
0.02242,-1.92
0.02244,-2.08
0.02246,-1.92
0.02248,-2.08
0.0225,-1.84
0.02252,-2.08
0.02254,-1.92
0.02256,-2.08
0.02258,-2
0.0226,-2
0.02262,-1.92
0.02264,-2.08
0.02266,-1.92
0.02268,-2.08
0.0227,-1.92
0.02272,-2.08
0.02274,-1.92
0.02276,-2
0.02278,-1.84
0.0228,-2
0.02282,-1.84
0.02284,-2.08
0.02286,-1.76
0.02288,-2
0.0229,-1.84
0.02292,-2
0.02294,-1.84
0.02296,-1.92
0.02298,-1.84
0.023,-2
0.02302,-1.76
0.02304,-2
0.02306,-1.76
0.02308,-1.92
0.0231,-1.76
0.02312,-1.92
0.02314,-1.68
0.02316,-1.92
0.02318,-1.68
0.0232,-1.92
0.02322,-1.68
0.02324,-1.84
0.02326,-1.6
0.02328,-1.84
0.0233,-1.6
0.02332,-1.76
0.02334,-1.6
0.02336,-1.76
0.02338,-1.52
0.0234,-1.76
0.02342,-1.52
0.02344,-1.76
0.02346,-1.52
